"source_dataset_id","player_id","club_id","original_player_name","original_team_name","player_age_years","market_value_mln","value_rank","plays_in_europe","matches_played","goals","assists","minutes_per_goal","minutes_played","instagram_followers_mln"
"1","329","138","Georges Mikautadze","Olimpic Lyon","23","20.0","4","1","148","82","17","147","12039","0.243"
"1","373","63","Hugo Ekitiké","Eintracht","22","20.0","4","1","103","28","13","189","5286","0.521"
"1","118","117","Brajan Gruda","Mainz","20","20.0","4","1","70","22","10","212","4671","0.031"
"1","448","22","Jhon Durán","Aston Villa","20","20.0","4","1","126","25","10","222","5552","0.169"
"1","249","23","El Bilal Touré","Atalanta ","22","20.0","4","1","109","21","8","246","5168","1.3"
"1","49","158","Ander Barrenetxea","Real Sociedad","22","20.0","4","1","161","17","8","418","7109","0.055"
"1","112","67","Beto","Evertton","26","20.0","4","1","173","53","8","194","10298","0.083"
"1","79","180","Arnaud Kalimuendo","Stade Rennes","22","20.0","4","1","166","63","18","164","10329","0.276"
"1","94","85","Barış Alper Yılmaz","Galatsaray","24","20.0","4","0","1","0","0","0","45","2.2"
"1","182","205","Crysencio Summerville","west haam","22","20.0","4","1","196","51","34","269","3706","0.215"
"1","623","28","Martin Terrier","Bayer Leverkusen","27","20.0","4","1","275","78","30","223","17397","0.158"
"1","978","74","Youssef En-Nesyri","Fenerbachce","27","20.0","4","1","1","0","0","0","11","2.0"
"1","434","57","Jean-Philippe Mateta","Crystal Palace","27","20.0","4","1","262","202","14","161","19392","0.11"
"1","931","177","Trincão","Sporting lisboa","24","20.0","4","1","1","0","0","0","83","0.751"
"1","846","1","Samuel Chukwueze","AC Milan","25","20.0","4","1","260","44","36","337","14842","1.0"
"1","476","200","Jonas Wind","Wolfburgo","25","20.0","4","1","237","97","36","178","17312","0.056"
"1","729","1","Noah Okafor","AC Milan","24","20.0","4","1","256","62","35","215","13305","1.0"
"1","615","177","Marcus Edwards","Sporting lisboa","25","20.0","4","1","1","0","0","0","37","0.192"
"1","611","146","Marco Asensio","Paris Saint-Germain","28","20.0","4","1","410","77","63","297","22897","15.4"
"1","857","138","Saïd Benrahma","Olimpic Lyon","28","20.0","4","1","354","79","62","275","21751","2.6"
"1","652","105","Mattia Zaccagni","Lassio","29","20.0","4","1","352","43","48","555","23854","0.338"
"1","678","132","Miguel Almirón","Newcastle United","30","20.0","4","1","326","56","38","422","23652","1.3"
"1","767","4","Paulo Dybala","AS Roma","30","20.0","4","1","503","187","82","184","34371","58.0"
"1","896","127","Takumi Minamino","Monaco Fc ","29","20.0","4","1","405","107","64","225","24031","1.2"
"1","272","138","Ernest Nuamah","Olimpic Lyon","20","18.0","4","1","87","24","7","240","5750","0.068"
"1","383","167","Isaac Romero","Sevilla FC ","24","18.0","4","1","88","30","14","205","6148","0.105"
"1","330","107","Georginio Rutter","Leeds United","22","18.0","4","1","169","29","27","356","10323","0.1"
"1","910","35","Thijs Dallinga","Bolonia","23","18.0","4","1","205","108","20","138","14868","0.034"
"1","43","119","Amad Diallo","Manchester United","22","18.0","4","1","180","64","34","179","11446","1.5"
"1","56","44","Andreas Skov Olsen","Brujas FC ","24","18.0","4","1","2","0","0","0","35","0.073"
"1","396","67","Jack Harrison","Evertton","27","18.0","4","1","310","52","46","452","23511","0.208"
"1","386","57","Ismaïla Sarr","Crystal Palace","26","18.0","4","1","276","62","49","338","20983","0.989"
"1","133","137","Callum Hudson-Odoi","Nottinham Forest","23","18.0","4","1","243","56","42","262","14685","1.5"
"1","802","80","Ritsu Doan","Friburgo FC ","26","18.0","4","1","298","64","38","334","21348","0.733"
"1","879","39","Simon Banza","Braga","27","18.0","4","1","1","0","0","0","13","0.099"
"1","733","57","Odsonne Edouard","Crystal Palace","26","18.0","4","1","322","117","45","169","19793","0.276"
"1","345","24","Gorka Guruzeta","Athletic Club","27","18.0","4","1","260","71","23","234","16621","0.049"
"1","728","141","Noa Lang","PSV ","25","18.0","4","1","1","1","0","64","64","0.508"
"1","888","5","Steven Bergwijn","Ajax FC","26","18.0","4","1","351","86","68","261","22472","1.5"
"1","41","74","Allan Saint-Maximin","Fenerbachce","27","18.0","4","1","1","0","0","0","70","1.4"
"1","994","25","Ángel Correa","Atletico de Madrid","29","18.0","4","1","485","92","79","283","26014","2.8"
"1","264","38","Enes Ünal","Bournemouth","27","18.0","4","1","350","95","30","213","20245","0.245"
"1","882","42","Solly March","Brighton","30","18.0","4","1","295","27","29","675","18234","0.079"
"1","585","38","Luis Sinisterra","Bournemouth","25","17.0","4","1","220","58","38","241","13975","0.272"
"1","766","124","Paulinho","Mineiro","24","17.0","4","0","37","14","4","232","3245","0.936"
"1","362","82","Harry Wilson","Fulhamm","27","17.0","4","1","331","91","76","247","22521","0.377"
"1","915","188","Timo Werner","Tottenham Hotspur","28","17.0","4","1","482","210","90","159","33352","2.7"
"1","657","84","Mauro Icardi","Galatasaray","31","17.0","4","0","1","0","0","0","90","12.1"
"1","973","42","Yankuba Minteh","Brighton","20","16.0","4","1","61","17","13","221","3754","0.091"
"1","682","201","Mohamed Amoura","Wolfsburgo","24","16.0","4","1","156","57","20","141","8009","0.498"
